age,weight.min,weight.max,height.min,height.max
0,2.5,4.4,45,55
1,3.4,5.8,50,60
2,4.2,7,53,64
3,5,7.9,56,67
4,5.6,8.7,58,70
5,6.1,9.3,60,72
6,6.4,9.7,62,74
7,6.7,10,63,75.5
8,7,10.4,65,77
9,7.4,10.7,66.5,78.5
10,7.6,11,68,80
11,7.7,11.3,69,81
12,7.8,12,70,81.5
13,8,12.2,71,82.5
14,8.2,12.5,72,83.5
15,8.4,12.8,73,84.5
16,8.6,13,74,85.5
17,8.8,13.2,74.5,86
18,8.9,13.3,75,86.5
19,9,13.5,76,87
20,9.2,13.7,76.5,88
21,9.4,13.9,77,88.5
22,9.5,14.1,78,89
23,9.6,14.3,78.5,90
24,9.7,14.5,80,92
25,9.8,14.7,81,93
26,10,14.9,82,94
27,10.2,15.1,83,95
28,10.3,15.2,83.5,95.5
29,10.4,15.4,84,96
30,10.5,15.5,84,96.5
31,10.6,15.6,85,97
32,10.7,15.7,85.5,97.5
33,10.8,15.8,86,98
34,10.9,16,86.5,98.5
35,11,16.2,87,99
36,11.3,16.5,88,100
37,11.4,16.6,89,101
38,11.5,16.7,89.5,101.5
39,11.6,16.8,90,102
40,11.7,17,90.5,102.5
41,11.8,17.2,91,103
42,12,17.5,91,104
43,12.1,17.6,92,104.5
44,12.2,17.7,92.5,105
45,12.3,17.9,93,105.5
46,12.4,18.1,93.5,106
47,12.6,18.3,94,107
48,12.7,18.5,95,108
