Category,Description,Data.Protein,Data.Fat.Total Lipid,Data.Fat.Polysaturated Fat,Data.Carbohydrate,Data.Fiber,Data.Water,Data.Vitamins.Vitamin A,Data.Major Minerals.Calcium,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Data.Thiamin,Data.Riboflavin,Data.Niacin,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin B12,Data.Choline,Data.Vitamins.Vitamin C,Data.Major Minerals.Phosphorus,Data.Major Minerals.Magnesium,Data.Major Minerals.Sodium,Data.Major Minerals.Potassium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Zinc
Milk,"Milk, human",1.03,4.38,0.497,6.89,0,87.5,61,32,0.08,0.3,0.014,0.036,0.177,0.011,0.05,16,5,14,3,17,51,0.052,0.03,0.17
Milk,"Milk, NFS",3.34,1.99,0.065,4.87,0,89.04,59,126,0.03,0.2,0.057,0.137,0.11,0.06,0.56,17.9,0.1,103,12,39,157,0.001,0,0.42
Milk,"Milk, whole",3.28,3.2,0.108,4.67,0,88.1,32,123,0.05,0.3,0.056,0.138,0.105,0.061,0.54,17.8,0,101,12,38,150,0.001,0,0.41
Milk,"Milk, low sodium, whole",3.1,3.46,0.128,4.46,0,88.2,29,101,0.08,0.3,0.02,0.105,0.043,0.034,0.36,16,0.9,86,5,3,253,0.01,0.05,0.38
Milk,"Milk, calcium fortified, whole",3.28,3.2,0.108,4.67,0,88.1,32,123,0.05,0.3,0.056,0.138,0.105,0.061,0.54,17.8,0,101,12,38,150,0.001,0,0.41
Milk,"Milk, calcium fortified, low fat (1%)",3.38,0.95,0.032,5.19,0,89.7,58,126,0.02,0.1,0.057,0.14,0.113,0.06,0.61,17.4,0,103,12,39,159,0.001,0,0.43
Milk,"Milk, calcium fortified, fat free (skim)",3.4,0.18,0.007,4.85,0,90.8,137,204,0.01,0,0.036,0.14,0.088,0.04,0.38,16,1,101,11,52,166,0.011,0.04,0.4
Milk,"Milk, reduced fat (2%)",3.35,1.9,0.058,4.91,0,89.1,83,126,0.03,0.2,0.059,0.137,0.112,0.061,0.55,18.2,0.2,103,12,39,159,0.001,0,0.43
Milk,"Milk, acidophilus, low fat (1%)",3.38,0.95,0.032,5.19,0,89.7,58,126,0.02,0.1,0.057,0.14,0.113,0.06,0.61,17.4,0,103,12,39,159,0.001,0,0.43
Milk,"Milk, acidophilus, reduced fat (2%)",3.35,1.9,0.058,4.91,0,89.1,83,126,0.03,0.2,0.059,0.137,0.112,0.061,0.55,18.2,0.2,103,12,39,159,0.001,0,0.43
Milk,"Milk, low fat (1%)",3.38,0.95,0.032,5.19,0,89.7,58,126,0.02,0.1,0.057,0.14,0.113,0.06,0.61,17.4,0,103,12,39,159,0.001,0,0.43
Milk,"Milk, fat free (skim)",3.43,0.08,0.006,4.89,0,90.8,64,132,0,0,0.056,0.131,0.118,0.058,0.58,18.2,0,107,12,41,167,0.002,0,0.45
Milk,"Milk, lactose free, low fat (1%)",3.38,0.95,0.032,5.19,0,89.7,58,126,0.02,0.1,0.057,0.14,0.113,0.06,0.61,17.4,0,103,12,39,159,0.001,0,0.43
Milk,"Milk, lactose free, fat free (skim)",3.43,0.08,0.006,4.89,0,90.8,64,132,0,0,0.056,0.131,0.118,0.058,0.58,18.2,0,107,12,41,167,0.002,0,0.45
Milk,"Milk, lactose free, reduced fat (2%)",3.35,1.9,0.058,4.91,0,89.1,83,126,0.03,0.2,0.059,0.137,0.112,0.061,0.55,18.2,0.2,103,12,39,159,0.001,0,0.43
Milk,"Milk, lactose free, whole",3.28,3.2,0.108,4.67,0,88.1,32,123,0.05,0.3,0.056,0.138,0.105,0.061,0.54,17.8,0,101,12,38,150,0.001,0,0.41
Buttermilk,"Buttermilk, fat free (skim)",3.31,1.07,0.033,4.79,0,90.13,14,116,0.05,0.1,0.034,0.154,0.058,0.034,0.22,17.7,1,89,11,148,151,0.011,0.05,0.42
Buttermilk,"Buttermilk, low fat (1%)",3.31,1.07,0.033,4.79,0,90.13,14,116,0.05,0.1,0.034,0.154,0.058,0.034,0.22,17.7,1,89,11,148,151,0.011,0.05,0.42
Buttermilk,"Buttermilk, reduced fat (2%)",4.1,2,0.071,5.3,0,87.7,16,143,0.11,0.1,0.05,0.21,0.1,0.03,0.37,16,1.5,82,13,105,180,0.008,0.06,0.24
Buttermilk,"Buttermilk, whole",3.21,3.31,0.198,4.88,0,87.91,47,115,0.07,0.3,0.047,0.172,0.09,0.036,0.46,14.6,0,85,10,105,135,0.025,0.03,0.38
Kefir,"Kefir, NS as to fat content",3.59,0.96,0.047,7.48,0,87.26,174,124,0.04,0.6,0.03,0.172,0.128,0.059,0.3,15.2,0.8,100,12,38,159,0.009,0.04,0.45
Goat's milk,"Goat's milk, whole",3.56,4.14,0.149,4.45,0,87.03,57,134,0.07,0.3,0.048,0.138,0.277,0.046,0.07,16,1.3,111,14,50,204,0.046,0.05,0.3
